2025-01-23 13:11:02.989407,united_kingdom,[[0.7657531]],,2019-08-05,150.3568594455719,0.1
2025-01-23 13:56:59.689741,united_kingdom,[[0.7657531]],,2019-08-01,148.76843929290771,0.1
2025-01-23 13:59:28.535830,united_kingdom,[[0.7657531]],,2019-08-02,148.84416270256042,0.1
2025-01-23 14:02:00.330144,united_kingdom,[[0.7657531]],,2019-08-03,151.7923333644867,0.1
2025-01-23 14:04:31.703425,united_kingdom,[[0.7657531]],,2019-08-04,151.37090301513672,0.1
2025-01-23 14:07:02.616609,united_kingdom,[[0.7657531]],,2019-08-05,150.91133379936218,0.1
2025-01-23 14:34:18.994716,united_kingdom,[[0.7657531]],,2019-08-01,146.59072518348694,0.1
2025-01-23 14:36:43.532644,united_kingdom,[[0.7657531]],,2019-08-02,144.53601503372192,0.1
2025-01-23 14:39:10.752282,united_kingdom,[[0.7657531]],,2019-08-03,147.21714234352112,0.1
2025-01-23 14:41:36.237571,united_kingdom,[[0.7657531]],,2019-08-04,145.48322820663452,0.1
2025-01-23 14:44:01.873140,united_kingdom,[[0.7657531]],,2019-08-05,145.63366532325745,0.1
